company_name,address,suburb,state,postcode,telephone,email,website
Arcare Burnside,"2 NICOL AVENUE, BURNSIDE 3023 VIC",ANU,ACT,0200,1300 272 273,damian.hutchesson@arcare.com.au,http://www.arcare.com.au/care/arcare-westwood-burnside/
Blue Care Carina Aged Care Facility,"455 RICHMOND ROAD, CARINA 4152 QLD",AUSTRALIAN,NATIONAL,UNIVERSITY,1800 838 929,residentialcare@bluecare.org.au,https://www.bluecare.org.au/aged-care-homes/locations/carina
Merv Irvine Nursing Home,"1321 PLENTY ROAD, BUNDOORA 3083 VIC",ANU,ACT,0200,03 9495 3240,dyesebel.dinglasan@nh.org.au,
Southern Cross Care Orana Residential Aged Care,"59 NAPIER STREET, DENILIQUIN 2710 NSW",AUSTRALIAN,NATIONAL,UNIVERSITY,1800 632 314,customerservice@sccliving.org.au,https://www.sccliving.org.au
Calvary Cooinda Retirement Community,"42 BATHURST STREET, SINGLETON 2330 NSW",AUSTRALIAN,NATIONAL,UNIVERSITY,02 6572 1537,careenquiries@calvarycare.org.au,http://www.calvarycare.org.au/residential-aged-and-respite-care/calvary-cooinda-singleton
Estia Health St Ives,"1 YARRABUNG ROAD, ST IVES 2075 NSW",DARWIN,NT,0800,1300 682 833,admissions@estiahealth.com.au,http://www.estiahealth.com.au/our-homes/nsw-sydney/st-ives/
Lutheran Services - Immanuel Gardens,"10 MAGNETIC DRIVE, BUDERIM 4556 QLD",DARWIN,NT,0800,07 5456 7600,adam.parker@lutheranservices.org.au,https://www.lutheranservices.org.au/additional-services/
Laurina Lodge Hostel,"1 ELEANOR STREET, HEYFIELD 3858 VIC",DARWIN,NT,0801,03 5139 7979,caron.mallet@cghs.com.au,
Sinnamon Village - Kentish Court,"620 SEVENTEEN MILE ROCKS ROAD, SINNAMON PARK 4073 QLD",DARWIN,NT,0801,1800 448 448,contactus@wmq.org.au,https://www.wmq.org.au/residential-aged-care/kentish-court
Bolton Clarke Ross Robertson,"19 CORNHILL ROAD, VICTOR HARBOR 5211 SA",ANU,ACT,0200,08 8551 0600,rossrobertsonrac@boltonclarke.com.au,http://www.boltonclarke.com.au/living-options/residential-aged-care/ross-robertson
James Barker House,"64 BUCKLEY STREET, FOOTSCRAY 3011 VIC",DARWIN,NT,0800,1300 111 277,agedcare.enquiries@salvationarmy.org.au,
Bupa Bendigo,"208 HOLDSWORTH ROAD, BENDIGO 3550 VIC",DARWIN,NT,0800,1800 718 336,agedcare@bupa.com.au,https://www.bupaagedcare.com.au/aged-care-homes/bupa-bendigo
